organization,andrewid,title,binder_admin,booth_chair
Asian Student Association,jglim,,,
Asian Student Association,jchiu2,,,
Asian Student Association,justinw1,,,
Kappa Kappa Gamma,sruhela,,,TRUE
Kappa Kappa Gamma,kcy,,,TRUE
Kappa Kappa Gamma,edegrand,,,TRUE
Kappa Kappa Gamma,aguzman2,,,TRUE
Kappa Kappa Gamma,cbaharav,,,
Kappa Kappa Gamma,akbalaji,,,
Kappa Kappa Gamma,lbancher,,,
Kappa Kappa Gamma,abandi,,,
Kappa Kappa Gamma,kbanh,,,
Kappa Kappa Gamma,mbaumhau,,,
Kappa Kappa Gamma,Egbell,,,
Kappa Kappa Gamma,abelouss,,,
Kappa Kappa Gamma,sbhardwa,,,
Kappa Kappa Gamma,mbhopatk,,,
Kappa Kappa Gamma,mbolling,,,
Kappa Kappa Gamma,kaboyle,,,
Kappa Kappa Gamma,sboyle,,,
Kappa Kappa Gamma,monicac1,,,
Kappa Kappa Gamma,ambikac,,,
Kappa Kappa Gamma,hchoikim,,,
Kappa Kappa Gamma,crclark,,,
Kappa Kappa Gamma,lcobak,,,
Kappa Kappa Gamma,mtday,,,
Kappa Kappa Gamma,shd,,,
Kappa Kappa Gamma,ree,,,
Kappa Kappa Gamma,lettenso,,,
Kappa Kappa Gamma,mrewing,,,
Kappa Kappa Gamma,afolsom,,,
Kappa Kappa Gamma,isabellafons,,,
Kappa Kappa Gamma,rvf,,,
Kappa Kappa Gamma,esgeorge,,,
Kappa Kappa Gamma,tgoforth,,,
Kappa Kappa Gamma,sgraves,,,
Kappa Kappa Gamma,ahoane,,,
Kappa Kappa Gamma,nidhij1,,,
Kappa Kappa Gamma,okeller,,,
Kappa Kappa Gamma,lakelly,,,
Kappa Kappa Gamma,lkendric,,,
Kappa Kappa Gamma,amkenned,,,
Kappa Kappa Gamma,hkillen,,,
Kappa Kappa Gamma,jungeun1,,,
Kappa Kappa Gamma,nkwon1,,,
Kappa Kappa Gamma,melevene,,,
Kappa Kappa Gamma,caral,,,
Kappa Kappa Gamma,sitongl,,,
Kappa Kappa Gamma,madelinl,,,
Kappa Kappa Gamma,meghnam,,,
Kappa Kappa Gamma,nupurm,,,
Kappa Kappa Gamma,mmateosk,,,
Kappa Kappa Gamma,emccullo,,,
Kappa Kappa Gamma,jmin1,,,
Kappa Kappa Gamma,hobrien,,,
Kappa Kappa Gamma,apaige,,,
Kappa Kappa Gamma,mpandura,,,
Kappa Kappa Gamma,hsiaotyp,,,
Kappa Kappa Gamma,spreston,,,
Kappa Kappa Gamma,cquintan,,,
Kappa Kappa Gamma,rravi,,,
Kappa Kappa Gamma,avreece,,,
Kappa Kappa Gamma,arudina,,,
Kappa Kappa Gamma,mrufo,,,
Kappa Kappa Gamma,emmar,,,
Kappa Kappa Gamma,nsareen,,,
Kappa Kappa Gamma,msengupt,,,
Kappa Kappa Gamma,gshandar,,,
Kappa Kappa Gamma,mshanwar,,,
Kappa Kappa Gamma,nanakis,,,
Kappa Kappa Gamma,hbsmith,,,
Kappa Kappa Gamma,asodani,,,
Kappa Kappa Gamma,msotelo,,,
Kappa Kappa Gamma,svt,,,
Kappa Kappa Gamma,atully,,,
Kappa Kappa Gamma,ieu,,,
Kappa Kappa Gamma,avanpraa,,,
Kappa Kappa Gamma,nvembu,,,
Kappa Kappa Gamma,ijv,,,
Kappa Kappa Gamma,mmwagner,,,
Kappa Kappa Gamma,tweeden,,,
Kappa Kappa Gamma,ardenw,,,
Kappa Kappa Gamma,cwurman,,,
Kappa Kappa Gamma,rebeccaz,,,
Kappa Kappa Gamma,amayor,,,
Delta Delta Dleta,jiangxul,,,TRUE
Delta Delta Dleta,gwolczan,,,TRUE
Delta Delta Dleta,aschott,,,TRUE
Delta Delta Dleta,mlanders,,,TRUE
Delta Delta Dleta,sklotz,,,TRUE
Delta Delta Dleta,kbarta,,,
Delta Delta Dleta,mbossard,,,
Delta Delta Dleta,mrburke,,,
Delta Delta Dleta,echoe,,,
Delta Delta Dleta,eedlich,,,
Delta Delta Dleta,medupall,,,
Delta Delta Dleta,eelrod,,,
Delta Delta Dleta,mgreenho,,,
Delta Delta Dleta,sahalper,,,
Delta Delta Dleta,ntho,,,
Delta Delta Dleta,ahong1,,,
Delta Delta Dleta,tjawahar,,,
Delta Delta Dleta,rsjohnso,,,
Delta Delta Dleta,soyeonk1,,,
Delta Delta Dleta,zilingl,,,
Delta Delta Dleta,haiwenl,,,
Delta Delta Dleta,ekmcalis,,,
Delta Delta Dleta,emcintos,,,
Delta Delta Dleta,amusipat,,,
Delta Delta Dleta,goke,,,
Delta Delta Dleta,apalaniy,,,
Delta Delta Dleta,pavitthp,,,
Delta Delta Dleta,gparanja,,,
Delta Delta Dleta,julesr,,,
Delta Delta Dleta,ysieh,,,
Delta Delta Dleta,atillman,,,
Delta Delta Dleta,judyz,,,
Delta Delta Dleta,kadusumi,,,
Delta Delta Dleta,collis,,,
Delta Delta Dleta,ikasliwa,,,
Delta Delta Dleta,trishad,,,
Delta Delta Dleta,lcfernan,,,
Delta Delta Dleta,jungsooa,,,
Delta Delta Dleta,jmkim2,,,
Delta Delta Dleta,lpugeda,,,
Delta Delta Dleta,annalyns,,,
Delta Delta Dleta,amyliu,,,
Delta Delta Dleta,jdeluna,,,
Delta Delta Dleta,kyungsec,,,
Delta Delta Dleta,sarahk1,,,
Delta Delta Dleta,ahanders,,,
Delta Delta Dleta,aozimok,,,
Delta Delta Dleta,gracetay,,,
Delta Delta Dleta,lilys,,,
Delta Delta Dleta,smyae,,,
Delta Delta Dleta,jyk2,,,
Delta Delta Dleta,daphnel,,,
Delta Delta Dleta,amglaser,,,
Delta Delta Dleta,rsneerin,,,
Delta Delta Dleta,angelas1,,,
Delta Delta Dleta,amtoy,,,
Delta Delta Dleta,vvanbens,,,
Delta Delta Dleta,elisaw,,,
Delta Delta Dleta,mjwang,,,
Delta Delta Dleta,swenger,,,
Delta Delta Dleta,elainex,,,
Delta Delta Dleta,nanz1,,,
Delta Delta Dleta,terrianz,,,
Delta Delta Dleta,ecohron,,,
Delta Delta Dleta,seoyeonc,,,
Alpha Phi Omega,sataylor,,,TRUE
Alpha Phi Omega,emaynard,,,TRUE
Alpha Phi Omega,rsp1,,,TRUE
Alpha Phi Omega,kchoy1,,,TRUE
Alpha Phi Omega,cduong,,,TRUE
Alpha Phi Omega,sct1,,,TRUE
Alpha Phi Omega,amuhamma,,,
Alpha Phi Omega,alicey,,,
Alpha Phi Omega,alyssal,,,
Alpha Phi Omega,ajcao,,,
Alpha Phi Omega,hooi,,,
Alpha Phi Omega,ashleyl1,,,
Alpha Phi Omega,aduffy,,,
Alpha Phi Omega,bbauer1,,,
Alpha Phi Omega,cfourake,,,
Alpha Phi Omega,djkang,,,
Alpha Phi Omega,eileenl1,,,
Alpha Phi Omega,ealbergo,,,
Alpha Phi Omega,gschen,,,
Alpha Phi Omega,hjli,,,
Alpha Phi Omega,jsshen,,,
Alpha Phi Omega,jzapanta,,,
Alpha Phi Omega,jnwong,,,
Alpha Phi Omega,kdiaz,,,
Alpha Phi Omega,ltan1,,,
Alpha Phi Omega,laurenz,,,
Alpha Phi Omega,lyq,,,
Alpha Phi Omega,mrethman,,,
Alpha Phi Omega,maxinek,,,
Alpha Phi Omega,mbdy,,,
Alpha Phi Omega,mlele,,,
Alpha Phi Omega,npeterso,,,
Alpha Phi Omega,pdebree,,,
Alpha Phi Omega,rnchowdh,,,
Alpha Phi Omega,schinn,,,
Alpha Phi Omega,mgshin,,,
Alpha Phi Omega,skyou,,,
Alpha Phi Omega,smoron,,,
Alpha Phi Omega,tianyua1,,,
Alpha Phi Omega,tmarino,,,
Alpha Phi Omega,vpham,,,
Alpha Phi Omega,wtchang,,,
Alpha Phi Omega,wgradise,,,
Alpha Phi Omega,yilieva,,,
Alpha Phi Omega,zteoh,,,
Alpha Phi Omega,acmontgo,,,
Alpha Phi Omega,hannahs,,,
Alpha Phi Omega,ichiu,,,
Alpha Phi Omega,jacquelz,,,
Alpha Phi Omega,kibowman,,,
Alpha Phi Omega,kbalenza,,,
Alpha Phi Omega,mzhu3,,,
Alpha Phi Omega,minjic,,,
Alpha Phi Omega,msint,,,
Alpha Phi Omega,rowenaf,,,
Alpha Phi Omega,shayang,,,
Alpha Phi Omega,swaras,,,
Alpha Phi Omega,thomasw1,,,
Alpha Phi Omega,yeonjuk,,,
Alpha Phi Omega,afgao,,,
Alpha Phi Omega,kbregna,,,
Alpha Phi Omega,gym,,,
Alpha Phi Omega,elinvill,,,
Alpha Phi Omega,eunicec1,,,
Alpha Phi Omega,ddlee,,,
Alpha Phi Omega,jzhuge,,,
Alpha Phi Omega,espektor,,,
Alpha Phi Omega,yiyangg,,,
Alpha Phi Omega,afebrill,,,
Alpha Phi Omega,jjeong1,,,
Alpha Phi Omega,abhanda1,,,
Alpha Phi Omega,ason,,,
Alpha Phi Omega,gschwaba,,,
Alpha Phi Omega,madelinm,,,
Alpha Phi Omega,ikumar,,,
Alpha Phi Omega,tma1,,,
Alpha Phi Omega,priscilc,,,
Alpha Phi Omega,stevengu,,,
Alpha Phi Omega,jrich,,,
Alpha Phi Omega,ahebbar,,,
Alpha Phi Omega,abalamur,,,
Alpha Phi Omega,ccollive,,,
Alpha Phi Omega,jiayiy,,,
Alpha Phi Omega,cyingyun,,,
Alpha Phi Omega,eallard,,,
Alpha Phi Omega,ehknott,,,
Alpha Phi Omega,kmt2,,,
Alpha Phi Omega,lchawla,,,
Alpha Phi Omega,mnowrooz,,,
Alpha Phi Omega,sslutsky,,,
Alpha Phi Omega,junginny,,,
Alpha Phi Omega,jiaqiz2,,,
Alpha Phi Omega,vkong,,,
The Old Mill,rolandog,,,TRUE
The Old Mill,dgionis,,,
The Old Mill,mtoren,,,
The Old Mill,jdangrem,,,
The Old Mill,cyoustra,,,
The Old Mill,sheenuy,,,
The Old Mill,bshortri,,,
The Old Mill,asavit,,,
The Old Mill,qianoum,,,
The Old Mill,sophiah,,,
The Old Mill,jstumpf,,,
The Old Mill,lkipp,,,
Phi Delta Theta,seswarac,,,TRUE
Phi Delta Theta,tmabraha,,,
Phi Delta Theta,naiyar,,,
Phi Delta Theta,oalfi,,,
Phi Delta Theta,manava,,,
Phi Delta Theta,gangulo,,,
Phi Delta Theta,tlaras,,,
Phi Delta Theta,ebalian,,,
Phi Delta Theta,dbyrapat,,,
Phi Delta Theta,ccabre,,,
Phi Delta Theta,mcasasno,,,
Phi Delta Theta,jcassady,,,
Phi Delta Theta,nathanc1,,,
Phi Delta Theta,jchiu2,,,
Phi Delta Theta,pdebuck,,,
Phi Delta Theta,djdeluca,,,
Phi Delta Theta,neild,,,
Phi Delta Theta,rtdesai,,,
Phi Delta Theta,sdhinsa,,,
Phi Delta Theta,kdodhia,,,
Phi Delta Theta,vhe,,,
Phi Delta Theta,dfager,,,
Phi Delta Theta,michaelfernandez,,,
Phi Delta Theta,mfitts,,,
Phi Delta Theta,jfoley1,,,
Phi Delta Theta,aescriba,,,
Phi Delta Theta,mgamerma,,,
Phi Delta Theta,zhongyig,,,
Phi Delta Theta,agarces,,,
Phi Delta Theta,sgatuku,,,
Phi Delta Theta,nsgoel,,,
Phi Delta Theta,lawrench,,,
Phi Delta Theta,jongwooh,,,
Phi Delta Theta,austinh,,,
Phi Delta Theta,mayankj,,,
Phi Delta Theta,wkasica,,,
Phi Delta Theta,akemburu,,,
Phi Delta Theta,youngchk,,,
Phi Delta Theta,hansk,,,
Phi Delta Theta,jackyl,,,
Phi Delta Theta,jyli1,,,
Phi Delta Theta,jyli,,,
Phi Delta Theta,phliu,,,
Phi Delta Theta,shuol1,,,
Phi Delta Theta,maxliu,,,
Phi Delta Theta,ljlu,,,
Phi Delta Theta,rmarmol,,,
Phi Delta Theta,cdmo,,,
Phi Delta Theta,jmora1,,,
Phi Delta Theta,hmuthaka,,,
Phi Delta Theta,anumanba,,,
Phi Delta Theta,russmo99,,,
Phi Delta Theta,jpannun,,,
Phi Delta Theta,ppatro,,,
Phi Delta Theta,fpaulino,,,
Phi Delta Theta,dzq,,,
Phi Delta Theta,hqq,,,
Phi Delta Theta,sroa,,,
Phi Delta Theta,ksachdev,,,
Phi Delta Theta,jfincatt,,,
Phi Delta Theta,kschaepp,,,
Phi Delta Theta,kshekar,,,
Phi Delta Theta,asshen,,,
Phi Delta Theta,msieb,,,
Phi Delta Theta,tsingh1,,,
Phi Delta Theta,ysohn,,,
Phi Delta Theta,csomani,,,
Phi Delta Theta,csriniv1,,,
Phi Delta Theta,kades,,,
Phi Delta Theta,atien,,,
Phi Delta Theta,etoy,,,
Phi Delta Theta,vvasu,,,
Phi Delta Theta,svelado,,,
Phi Delta Theta,jvillalo,,,
Phi Delta Theta,kawalsh,,,
Phi Delta Theta,rwalters,,,
Phi Delta Theta,william4,,,
Phi Delta Theta,jhxue,,,
Phi Delta Theta,syip1,,,
Phi Delta Theta,myoungsh,,,
Phi Delta Theta,ewzhang,,,
Student Dormitory Council,jwchou,,,TRUE
Student Dormitory Council,rzr,,,TRUE
Student Dormitory Council,alc1,,,TRUE
Student Dormitory Council,aajith,,,
Student Dormitory Council,acerny,,,
Student Dormitory Council,adhyani,,,
Student Dormitory Council,adithir,,,
Student Dormitory Council,ajbeck,,,
Student Dormitory Council,ajli,,,
Student Dormitory Council,ajshah,,,
Student Dormitory Council,akapusci,,,
Student Dormitory Council,akduncan,,,
Student Dormitory Council,akraghav,,,
Student Dormitory Council,alchuang,,,
Student Dormitory Council,alejanda,,,
Student Dormitory Council,alin,,,
Student Dormitory Council,ameliac,,,
Student Dormitory Council,amglaser,,,
Student Dormitory Council,amjones,,,
Student Dormitory Council,anmolk,,,
Student Dormitory Council,aravisha,,,
Student Dormitory Council,asalmon,,,
Student Dormitory Council,aspoto,,,
Student Dormitory Council,avesco,,,
Student Dormitory Council,bbrennen,,,
Student Dormitory Council,bowenh,,,
Student Dormitory Council,catherix,,,
Student Dormitory Council,ceq,,,
Student Dormitory Council,cmay1,,,
Student Dormitory Council,cnl2,,,
Student Dormitory Council,colinkel,,,
Student Dormitory Council,cperry,,,
Student Dormitory Council,poole,,,
Student Dormitory Council,ctaipe,,,
Student Dormitory Council,cwkong,,,
Student Dormitory Council,dbick,,,
Student Dormitory Council,dbperry,,,
Student Dormitory Council,dbyrapat,,,
Student Dormitory Council,ddomalik,,,
Student Dormitory Council,dgajaraw,,,
Student Dormitory Council,dlandi,,,
Student Dormitory Council,dlaredo,,,
Student Dormitory Council,dozcan,,,
Student Dormitory Council,dyeh,,,
Student Dormitory Council,estherj,,,
Student Dormitory Council,ehirao,,,
Student Dormitory Council,eblesswi,,,
Student Dormitory Council,gglass,,,
Student Dormitory Council,gth,,,
Student Dormitory Council,hjli,,,
Student Dormitory Council,inezk,,,
Student Dormitory Council,isinha,,,
Student Dormitory Council,jcorona,,,
Student Dormitory Council,jdropkin,,,
Student Dormitory Council,jemichae,,,
Student Dormitory Council,jhoffma1,,,
Student Dormitory Council,jinxiao,,,
Student Dormitory Council,jlewis1,,,
Student Dormitory Council,jnobbs,,,
Student Dormitory Council,jrathnag,,,
Student Dormitory Council,jrlew,,,
Student Dormitory Council,jronayne,,,
Student Dormitory Council,justinec,,,
Student Dormitory Council,kakompon,,,
Student Dormitory Council,kdevince,,,
Student Dormitory Council,kowagner,,,
Student Dormitory Council,loberman,,,
Student Dormitory Council,lpatt,,,
Student Dormitory Council,lsantizo,,,
Student Dormitory Council,mbrownin,,,
Student Dormitory Council,mcedward,,,
Student Dormitory Council,mgarrett,,,
Student Dormitory Council,mgilsilv,,,
Student Dormitory Council,mgopakum,,,
Student Dormitory Council,mhanders,,,
Student Dormitory Council,mingruiy,,,
Student Dormitory Council,mlaurenc,,,
Student Dormitory Council,mlu1,,,
Student Dormitory Council,mmazumde,,,
Student Dormitory Council,mmirho,,,
Student Dormitory Council,mnitke,,,
Student Dormitory Council,mpedward,,,
Student Dormitory Council,mpparalk,,,
Student Dormitory Council,msawhney,,,
Student Dormitory Council,mstiefbo,,,
Student Dormitory Council,nachu,,,
Student Dormitory Council,nchintam,,,
Student Dormitory Council,nhouglan,,,
Student Dormitory Council,nhthomps,,,
Student Dormitory Council,nsivakum,,,
Student Dormitory Council,nwai,,,
Student Dormitory Council,ocl,,,
Student Dormitory Council,olo,,,
Student Dormitory Council,pbays,,,
Student Dormitory Council,pmblair,,,
Student Dormitory Council,priscilc,,,
Student Dormitory Council,prishas,,,
Student Dormitory Council,rdhesika,,,
Student Dormitory Council,rgroves,,,
Student Dormitory Council,rhassabe,,,
Student Dormitory Council,rimshaa,,,
Student Dormitory Council,sbirke,,,
Student Dormitory Council,schidamb,,,
Student Dormitory Council,sgiampap,,,
Student Dormitory Council,shraiyg,,,
Student Dormitory Council,sinani,,,
Student Dormitory Council,skadi,,,
Student Dormitory Council,skedia,,,
Student Dormitory Council,skylarm,,,
Student Dormitory Council,sophyp,,,
Student Dormitory Council,spchrist,,,
Student Dormitory Council,sroongta,,,
Student Dormitory Council,ssuero,,,
Student Dormitory Council,svtam,,,
Student Dormitory Council,swanasun,,,
Student Dormitory Council,syiblet,,,
Student Dormitory Council,tinal,,,
Student Dormitory Council,vbheemar,,,
Student Dormitory Council,vcherupa,,,
Student Dormitory Council,vhrao,,,
Student Dormitory Council,vkulutla,,,
Student Dormitory Council,vliu1,,,
Student Dormitory Council,wsu1,,,
Student Dormitory Council,xinxinh,,,
Student Dormitory Council,xux1,,,
Student Dormitory Council,yingxuehu,,,
Student Dormitory Council,cchheath,,,
Student Dormitory Council,etrich,,,
Student Dormitory Council,clittrel,,,
Student Dormitory Council,jkoltas,,,
Delta Tau Delta,nhiehle,,,TRUE
Delta Tau Delta,rselagam,,,TRUE
Delta Tau Delta,kdlee,,,TRUE
Delta Tau Delta,souravp,,,TRUE
Delta Tau Delta,sungjunh,,,TRUE
Delta Tau Delta,amilford,,,TRUE
Delta Tau Delta,ilo1,,,
Delta Tau Delta,atucker1,,,
Delta Tau Delta,fkovacs,,,
Delta Tau Delta,zsnow,,,
Delta Tau Delta,clementw,,,
Delta Tau Delta,sjabraha,,,
Delta Tau Delta,anoorani,,,
Delta Tau Delta,svraj,,,
Delta Tau Delta,xapostol,,,
Delta Tau Delta,mmckinzi,,,
Delta Tau Delta,goc,,,
Delta Tau Delta,mjforsyt,,,
Delta Tau Delta,pbhojwan,,,
Delta Tau Delta,tyh,,,
Delta Tau Delta,raunaksg,,,
Delta Tau Delta,hjx,,,
Delta Tau Delta,haiwenl,,,
Delta Tau Delta,akalaba,,,
Delta Tau Delta,achymkh,,,
Delta Tau Delta,tweeden,,,
Delta Tau Delta,vponarsk,,,
Delta Tau Delta,amayor,,,
Delta Tau Delta,ablack1,,,
Delta Tau Delta,she2,,,
Delta Tau Delta,dbaryche,,,
Delta Tau Delta,tchetal,,,
Delta Tau Delta,asoh,,,
Delta Tau Delta,heyangz,,,
Delta Tau Delta,cemery,,,
Delta Tau Delta,gcbrown,,,
Delta Tau Delta,ctang1,,,
Delta Tau Delta,vvbaldwa,,,
Delta Tau Delta,mtamvaki,,,
Delta Tau Delta,rbaiocco,,,
Delta Tau Delta,zaq,,,
Delta Tau Delta,sjawahar,,,
Delta Tau Delta,bpek,,,
Delta Tau Delta,ccoelho,,,
Delta Tau Delta,afung,,,
Delta Tau Delta,dlin2,,,
Delta Tau Delta,gbrower,,,
Delta Tau Delta,dbang,,,
Delta Tau Delta,ajconlon,,,
Delta Tau Delta,ocl,,,
Delta Tau Delta,jhbaldwi,,,
Delta Tau Delta,jasonh1,,,
Delta Tau Delta,rastentz,,,
Delta Tau Delta,aronquil,,,
Delta Tau Delta,muhammay,,,
Delta Tau Delta,cmowry,,,
Delta Tau Delta,jiacobel,,,
Delta Tau Delta,jdunbar,,,
Delta Tau Delta,jaeminl,,,
Delta Tau Delta,acowan,,,
Delta Tau Delta,aguzel,,,
Delta Tau Delta,Shariqs,,,
Delta Tau Delta,sir,,,
Delta Tau Delta,pdebree,,,
Delta Tau Delta,Seandonn,,,
Delta Tau Delta,chunglee,,,
Delta Tau Delta,asekar,,,
Alpha Epsilon Pi,zsikov,,,TRUE
Alpha Epsilon Pi,dscher,,,TRUE
Alpha Epsilon Pi,afl1,,,TRUE
Alpha Epsilon Pi,aelevine,,,TRUE
Alpha Epsilon Pi,mspettel,,,TRUE
Alpha Epsilon Pi,ajrosenf,,,TRUE
Alpha Epsilon Pi,rhoffber,,,TRUE
Alpha Epsilon Pi,aadler,,,TRUE
Alpha Epsilon Pi,abaikovi,,,
Alpha Epsilon Pi,dbaratt,,,
Alpha Epsilon Pi,jbroitma,,,
Alpha Epsilon Pi,mbuchman,,,
Alpha Epsilon Pi,kicohen,,,
Alpha Epsilon Pi,acohn,,,
Alpha Epsilon Pi,adruck,,,
Alpha Epsilon Pi,jfdubin,,,
Alpha Epsilon Pi,bdubner,,,
Alpha Epsilon Pi,merlebac,,,
Alpha Epsilon Pi,jglanzbe,,,
Alpha Epsilon Pi,dglazer,,,
Alpha Epsilon Pi,cglickma,,,
Alpha Epsilon Pi,jgoldma1,,,
Alpha Epsilon Pi,jgrove,,,
Alpha Epsilon Pi,jgruza,,,
Alpha Epsilon Pi,eholthau,,,
Alpha Epsilon Pi,alerner1,,,
Alpha Epsilon Pi,davidlev,,,
Alpha Epsilon Pi,wxl,,,
Alpha Epsilon Pi,amenaged,,,
Alpha Epsilon Pi,ameyers,,,
Alpha Epsilon Pi,gorelowi,,,
Alpha Epsilon Pi,nmass,,,
Alpha Epsilon Pi,ekr,,,
Alpha Epsilon Pi,jsandler,,,
Alpha Epsilon Pi,gvolynsk,,,
Alpha Epsilon Pi,eshachar,,,
Alpha Epsilon Pi,asilverg,,,
Alpha Epsilon Pi,jsomers,,,
Alpha Epsilon Pi,sbsteinb,,,
Alpha Epsilon Pi,zsussman,,,
Alpha Epsilon Pi,nholzmue,,,
Alpha Epsilon Pi,vrw,,,
Alpha Epsilon Pi,grasskin,,,
Alpha Epsilon Pi,msobkov,,,
Alpha Epsilon Pi,bnli,,,
Alpha Epsilon Pi,apallen,,,
Alpha Epsilon Pi,relovitz,,,
Alpha Epsilon Pi,dlesh,,,
Alpha Epsilon Pi,dplaut,,,
Alpha Epsilon Pi,etrich,,,
Alpha Epsilon Pi,ibrowne,,,
Alpha Epsilon Pi,bjwu,,,
Alpha Epsilon Pi,jloungani,,,
Alpha Epsilon Pi,bboxer,,,
Alpha Epsilon Pi,jcagan,,,
Alpha Epsilon Pi,gbrik,,,
Alpha Epsilon Pi,tsolomon,,,
Alpha Epsilon Pi,rsneerin,,,
Alpha Epsilon Pi,cbrower,,,
Alpha Epsilon Pi,hhewitt,,,
Alpha Epsilon Pi,kmigdol,,,
Alpha Epsilon Pi,taltgold,,,
Alpha Epsilon Pi,csosis,,,
Alpha Epsilon Pi,dblank,,,
Alpha Epsilon Pi,aekaplan,,,
Alpha Epsilon Pi,asilbaug,,,
Alpha Epsilon Pi,acfriedm,,,
Alpha Epsilon Pi,bnowlan,,,
Alpha Epsilon Pi,snmason,,,
Alpha Epsilon Pi,pting,,,
Alpha Epsilon Pi,nrupani,,,
Alpha Epsilon Pi,ninae,,,
Chinese Students Association,dingkunw,,,TRUE
Chinese Students Association,acli,,,TRUE
Chinese Students Association,AndyGe,,,TRUE
Chinese Students Association,zhiqig,,,
Chinese Students Association,yezheng,,,
Chinese Students Association,shuyangg,,,
Chinese Students Association,mingyan1,,,
Chinese Students Association,yiyunc,,,
Chinese Students Association,junyuc1,,,
Chinese Students Association,gxz,,,
Chinese Students Association,qijiay,,,
Chinese Students Association,tianlanj,,,
Chinese Students Association,lingfanj,,,
Chinese Students Association,yidanh,,,
Chinese Students Association,jinghuaq,,,
Chinese Students Association,shitianw,,,
Chinese Students Association,zhangyow,,,
Chinese Students Association,congyiw,,,
Chinese Students Association,dniu,,,
Chinese Students Association,chongyat,,,
Chinese Students Association,geans,,,
Chinese Students Association,zhuoyinl,,,
Chinese Students Association,yifeiy3,,,
Chinese Students Association,yiyaoy1,,,
Chinese Students Association,acli,,,
Chinese Students Association,yutongz3,,,
Chinese Students Association,ruiqizhu,,,
Chinese Students Association,nzhu1,,,
Chinese Students Association,hanyingx,,,
Chinese Students Association,xiaoyiz1,,,
Chinese Students Association,ziyuez,,,
Chinese Students Association,weiyiz1,,,
Chinese Students Association,michellz,,,
Chinese Students Association,kaiz1,,,
Chinese Students Association,junyil1,,,
Chinese Students Association,yiwenc1,,,
Chinese Students Association,maoyuans,,,
Chinese Students Association,yjiang2,,,
Chinese Students Association,yjx,,,
Chinese Students Association,zesenz,,,
Chinese Students Association,yixuel,,,
Chinese Students Association,yilel,,,
Chinese Students Association,yupengf,,,
Chinese Students Association,tianyanf,,,
Chinese Students Association,yunhongf,,,
Chinese Students Association,shuyuand,,,
Chinese Students Association,vrw,,,
Chinese Students Association,dingkunw,,,
Chinese Students Association,yufeiy3,,,
Chinese Students Association,ajliang,,,
Chinese Students Association,lianglij,,,
Chinese Students Association,yanyut,,,
Chinese Students Association,jinwang2,,,
Chinese Students Association,bspan,,,
Chinese Students Association,xyuw,,,
Chinese Students Association,charmaiq,,,
Chinese Students Association,yuanfeiz,,,
Chinese Students Association,xinyuwu2,,,
Chinese Students Association,yuhengg,,,
Chinese Students Association,honghaoc,,,
Chinese Students Association,tiangel,,,
Chinese Students Association,xinrant,,,
Chinese Students Association,mingtinx,,,
Chinese Students Association,ningc,,,
Chinese Students Association,xuyangw,,,
Chinese Students Association,xinyis,,,
Chinese Students Association,xinyuwa3,,,
Chinese Students Association,yilunw,,,
Chinese Students Association,fbu,,,
Chinese Students Association,hanxiaos,,,
Chinese Students Association,songtang,,,
Chinese Students Association,yiwenson,,,
Chinese Students Association,fyi,,,
Chinese Students Association,bohanl2,,,
Chinese Students Association,xiaoranl,,,
Chinese Students Association,chenyuw3,,,
Chinese Students Association,xiangyij,,,
Chinese Students Association,yuwenh,,,
Taiwanese Students Association,atsu,,,TRUE
Taiwanese Students Association,vdt,,,TRUE
Taiwanese Students Association,carolynz,,,TRUE
Taiwanese Students Association,jhon,,,TRUE
Taiwanese Students Association,tcliu,,,TRUE
Taiwanese Students Association,jwzhu,,,TRUE
Taiwanese Students Association,hdaniel,,,TRUE
Taiwanese Students Association,jesparc,,,TRUE
Taiwanese Students Association,wenxincu,,,
Taiwanese Students Association,denisel1,,,
Taiwanese Students Association,szhai,,,
Taiwanese Students Association,dchen1,,,
Taiwanese Students Association,ezchen,,,
Taiwanese Students Association,jasonh1,,,
Taiwanese Students Association,rtf,,,
Taiwanese Students Association,khandoko,,,
Taiwanese Students Association,alchuang,,,
Taiwanese Students Association,ilu1,,,
Taiwanese Students Association,amiew,,,
Taiwanese Students Association,yunchiew,,,
Taiwanese Students Association,cywang,,,
Taiwanese Students Association,hlian,,,
Taiwanese Students Association,xuanyel,,,
Taiwanese Students Association,hlin1,,,
Taiwanese Students Association,dkopa,,,
Taiwanese Students Association,mmguo,,,
Taiwanese Students Association,janetli,,,
Taiwanese Students Association,gpingl,,,
Taiwanese Students Association,albertc1,,,
Taiwanese Students Association,tchiang,,,
Taiwanese Students Association,csellke,,,
Taiwanese Students Association,jhsu2,,,
Taiwanese Students Association,ylp,,,
Taiwanese Students Association,lmzhao,,,
Taiwanese Students Association,mfang1,,,
Taiwanese Students Association,tsheng,,,
Taiwanese Students Association,rowenaf,,,
Taiwanese Students Association,btao,,,
Taiwanese Students Association,katrinaw,,,
Taiwanese Students Association,mhsieh2,,,
Taiwanese Students Association,lesliec1,,,
Taiwanese Students Association,rsi1,,,
Taiwanese Students Association,ichiu,,,
Taiwanese Students Association,cyc1,,,
Taiwanese Students Association,jkhuang,,,
Taiwanese Students Association,atarng,,,
Taiwanese Students Association,kianal,,,
