name,description,due_at
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/19/2018 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/20/2018 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/21/2018 1:00:00
Midway Opens,"Each org must have 2 members staffing their booth. Have the Watch Shift check, and put any organization without at least one member on Downtime in Binder.",4/19/2018 15:30:00
Midway Opens,"Each org must have 2 members staffing their booth. Have the Watch Shift check, and put any organization without at least one member on Downtime in Binder.",4/20/2018 11:00:00
Midway Opens,"Each org must have 2 members staffing their booth. Have the Watch Shift check, and put any organization without at least one member on Downtime in Binder.",4/21/2018 11:00:00
Rides Open,Rides and games are open on the CFA Lawn. Wristbands and tickets can be purchased at the tickets trailer next to Doherty.,4/19/2018 15:30:00
Rides Open,Rides and games are open on the CFA Lawn. Wristbands and tickets can be purchased at the tickets trailer next to Doherty.,4/20/2018 10:00:00
Rides Open,Rides and games are open on the CFA Lawn. Wristbands and tickets can be purchased at the tickets trailer next to Doherty.,4/21/2018 10:00:00
Midway Closes,Everyone must clear Midway. Have the watch shift close the gates at the Margaret Morrison entrance and the Fence entrance to Midway. Have the watch shift put caution tape over the entrances of every booth.,4/19/2018 23:00:00
Midway Closes,Everyone must clear Midway. Have the watch shift close the gates at the Margaret Morrison entrance and the Fence entrance to Midway. Have the watch shift put caution tape over the entrances of every booth.,4/19/2018 23:00:00
Midway Closes,Everyone must clear Midway. Have the watch shift close the gates at the Margaret Morrison entrance and the Fence entrance to Midway. Have the watch shift put caution tape over the entrances of every booth.,4/19/2018 23:00:00
Rides Close,Rides are closed on the CFA Lawn. Have the watch shift stand at the Fence entrance to make sure no one tries to reenter Midway,4/19/2018 23:00:00
Rides Close,Rides are closed on the CFA Lawn. Have the watch shift stand at the Fence entrance to make sure no one tries to reenter Midway,4/19/2018 23:00:00
Rides Close,Rides are closed on the CFA Lawn. Have the watch shift stand at the Fence entrance to make sure no one tries to reenter Midway,4/19/2018 23:00:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/14/2018 12:30:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/15/2018 12:30:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/16/2018 12:30:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/17/2018 12:30:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/18/2018 12:30:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/19/2018 12:30:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/20/2018 12:30:00
Take out trailer trash,"Pick up all loose trash in the trailer, put it in a trash bag, tie up the trash bag, and put the trash near the door. When the watch shift checks in have them put the trash in a dumpster before they move the dumpsters.",4/21/2018 12:30:00
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Stephen is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call him at 619-240-6566.",
Hannah is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call her at 513-582-8267.",
Hannah is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call her at 513-582-8267.",
Hannah is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call her at 513-582-8267.",
Hannah is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call her at 513-582-8267.",
Hannah is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call her at 513-582-8267.",
Hannah is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call her at 513-582-8267.",
Hannah is now the Co-Chair on Call.,"If there is something you cannot resolve yourself and no other exec member is on Midway, a serious issue, or Midway needs to be evacuated, call her at 513-582-8267.",
