organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Spring Carnival Committee,Coordinator Shift,4/9/2022 4:00:00,4/9/2022 8:00:00,1,jingjier
Spring Carnival Committee,Coordinator Shift,4/9/2022 8:00:00,4/9/2022 12:00:00,1,
Spring Carnival Committee,Coordinator Shift,4/9/2022 12:00:00,4/9/2022 16:00:00,1,ssyeda
Spring Carnival Committee,Coordinator Shift,4/9/2022 16:00:00,4/9/2022 20:00:00,1,
Spring Carnival Committee,Coordinator Shift,4/9/2022 20:00:00,4/10/2022 0:00:00,1,marianq
Spring Carnival Committee,Coordinator Shift,4/10/2022 0:00:00,4/10/2022 4:00:00,1,tfwan
Spring Carnival Committee,Coordinator Shift,4/10/2022 4:00:00,4/10/2022 8:00:00,1,
Spring Carnival Committee,Coordinator Shift,4/10/2022 8:00:00,4/10/2022 12:00:00,1,jessief
Spring Carnival Committee,Coordinator Shift,4/10/2022 12:00:00,4/10/2022 16:00:00,1,oolajubu
Spring Carnival Committee,Coordinator Shift,4/10/2022 16:00:00,4/10/2022 20:00:00,1,agafaar
